 expiry_date | strike_price | option_type | num_trading_days | total_volume | total_oi | avg_premium | volume_to_oi_ratio 
-------------+--------------+-------------+------------------+--------------+----------+-------------+--------------------
 2019-08-14  |     28000.00 | PE          |                9 |      3145155 |  1668800 |      265.39 |             188.47
 2019-08-14  |     28100.00 | CE          |                9 |      2874026 |  1528500 |      373.69 |             188.03
 2019-08-14  |     28100.00 | PE          |                9 |      1044857 |   283320 |      312.66 |             368.79
 2019-08-14  |     28200.00 | CE          |                9 |      2914720 |  1937820 |      377.56 |             150.41
 2019-08-14  |     28200.00 | PE          |                9 |       720630 |   391160 |      384.04 |             184.23
 2019-08-14  |     28300.00 | CE          |                9 |      2462532 |  1377800 |      339.76 |             178.73
 2019-08-14  |     28300.00 | PE          |                9 |       375344 |   175360 |      448.36 |             214.04
 2019-08-14  |     28400.00 | CE          |                9 |      1922651 |  1115400 |      304.72 |             172.37
 2019-08-14  |     28400.00 | PE          |                9 |       264066 |   144080 |      496.89 |             183.28
 2019-08-14  |     28500.00 | CE          |                9 |      2417719 |  2892540 |      147.51 |              83.58
 2019-08-14  |     28500.00 | PE          |                9 |       231336 |   175360 |      594.39 |             131.92
 2019-08-14  |     28600.00 | CE          |                9 |      1251291 |  1057460 |      120.29 |             118.33
 2019-08-14  |     28600.00 | PE          |                9 |        49208 |    57360 |      639.66 |              85.79
 2019-08-14  |     28700.00 | CE          |                9 |      1704737 |   932220 |      101.57 |             182.87
 2019-08-14  |     28700.00 | PE          |                9 |        13961 |    11800 |      718.70 |             118.31
 2019-08-14  |     28800.00 | CE          |                9 |       587062 |   706860 |       85.36 |              83.05
 2019-08-14  |     28800.00 | PE          |                9 |         2708 |     5860 |      592.31 |              46.21
 2019-08-14  |     28900.00 | CE          |                9 |       353397 |   405480 |      281.81 |              87.16
 2019-08-14  |     29000.00 | CE          |                9 |       775705 |  1522360 |       55.04 |              50.95
 2019-08-14  |     29000.00 | PE          |                9 |         4287 |    40340 |      880.11 |              10.63
 2019-08-14  |     29100.00 | CE          |                9 |       173911 |   238200 |      281.36 |              73.01
 2019-08-14  |     29200.00 | CE          |                9 |       138991 |   224680 |      267.62 |              61.86
 2019-08-14  |     29300.00 | CE          |                9 |        82949 |   139920 |       26.78 |              59.28
 2019-08-14  |     29400.00 | CE          |                9 |        59201 |   102980 |      277.58 |              57.49
 2019-08-14  |     29500.00 | CE          |                9 |       221884 |   903920 |       20.76 |              24.55
 2019-08-14  |     29600.00 | CE          |                9 |        26685 |   106900 |      261.24 |              24.96
 2019-08-14  |     29700.00 | CE          |                9 |        17641 |    52760 |      952.35 |              33.44
 2019-08-14  |     29800.00 | CE          |                9 |        12939 |    70440 |      463.46 |              18.37
 2019-08-14  |     29900.00 | CE          |                9 |         4655 |    32060 |     1334.96 |              14.52
 2019-08-14  |     30000.00 | CE          |                9 |        50273 |   471940 |       10.11 |              10.65
 2019-08-14  |     30300.00 | CE          |                9 |         1093 |     8600 |      970.97 |              12.71
 2019-08-14  |     30500.00 | CE          |                9 |         1361 |    15900 |      543.63 |               8.56
 2019-08-14  |     31000.00 | CE          |                9 |         1120 |    12720 |      601.19 |               8.81
 2019-08-14  |     31600.00 | CE          |                9 |        14021 |      480 |      945.03 |            2921.04
 2019-08-14  |     31700.00 | CE          |                9 |        20549 |        0 |      906.36 |                   
 2019-08-14  |     31800.00 | CE          |                9 |         6002 |        0 |      868.95 |                   
